LegacyKey,MainIcon,Modifier1,Modifier2,ExtraIcon,FullFrame,Standard
E-F-A-----,20120100,,,,,C
E-F-AA----,20120101,,,,,C
E-F-AB----,20120102,,,,,C
E-F-AC----,20120103,,,,TRUE,C
E-F-AD----,20120104,,,,,C
E-F-AE----,20120106,,,,TRUE,C
E-F-AF----,20120107,,,,TRUE,C
E-F-AG----,20120108,,,,,C
E-F-B-----,20120200,,,,,C
E-F-BA----,20120201,,,,,C
E-F-BB----,20120202,,,,,C
E-F-BC----,20120203,,,,,C
E-F-BD----,20120205,,,,,C
E-F-BE----,20120206,,,,,C
E-F-BF----,20120207,,,,,C
E-F-C-----,20120300,,,,,C
E-F-CA----,20120301,,,,,C
E-F-CB----,20120302,,,,,C
E-F-CC----,20120303,,,,,C
E-F-CD----,20120304,,,,,C
E-F-CE----,20120305,,,,,C
E-F-CF----,20120306,,,,,C
E-F-CG----,20120307,,,,,C
E-F-CH----,20120308,,,,,C
E-F-CI----,20120309,,,,,C
E-F-CJ----,20120310,,,,,C
E-F-D-----,20120400,,,,,C
E-F-DA----,20120401,,,,,C
E-F-DB----,20120402,,,,,C
E-F-EA----,20120502,,,,,C
E-F-EB----,20120503,,,,,C
E-F-EE----,20120506,,,,,C
E-F-F-----,20120600,,,,,C
E-F-G-----,20120800,,,,,C
E-F-GA----,20120801,,,,,C
E-F-H-----,20120900,,,,,C
E-F-HA----,20120901,,,,,C
E-F-HB----,20120902,,,,,C
E-F-I-----,20121000,,,,,C
E-F-IA----,20121001,,,,,C
E-F-IB----,20121002,,,,,C
E-F-IC----,20121003,,,,,C
E-F-ID----,20121004,,,,,C
E-F-J-----,20121100,,,,,C
E-F-JA----,20121101,,,,,C
E-F-JB----,20121102,,,,,C
E-F-JC----,20121103,,,,,C
E-F-K-----,20121200,,,,,C
E-F-KB----,20121203,,,,,C
E-F-LA----,20121302,,,,,C
E-F-LD----,20121303,,,,,C
E-F-LE----,20121304,,,,,C
E-F-LF----,20121305,,,,,C
E-F-LH----,20121306,,,,,C
E-F-LJ----,20121307,,,,,C
E-F-LK----,20121308,,,,,C
E-F-LM----,20121311,,,,,C
E-F-LO----,20121312,,,,,C
E-F-LP----,20121313,,,,,C
E-F-MA----,20121401,,,,,C
E-F-MB----,20121402,,,,,C
E-F-MC----,20121403,,,,,C
E-F-MD----,20121404,,,,,C
E-F-ME----,20121405,,,,,C
E-F-MF----,20121406,,,,,C
E-F-MG----,20121407,,,,,C
E-F-MH----,20121408,,,,,C
E-F-MI----,20121409,,,,,C
E-I-A-----,40120000,,,,,C
E-I-AC----,E-I-AC----,,,,,C
E-I-B-----,40110100,,,,,C
E-I-BA----,40110201,,,,,C
E-I-BC----,40110606,,,,,C
E-I-BD----,11110400,11241,,,,C
E-I-BF----,40110400,,,,,C
E-I-C-----,40140000,,,,,C
E-I-CA----,40140300,,,,,C
E-I-CB----,40140400,,,,,C
E-I-CC----,40140100,,,,,C
E-I-CD----,40140500,,,,,C
E-I-CE----,40140600,,,,,C
E-I-CF----,40140200,,,,,C
E-I-CG----,40140700,,,,,C
E-I-CH----,40140800,,,,,C
E-I-D-----,40150100,,,,,C
E-I-DA----,40150101,,,,,C
E-I-DB----,40150102,,,,,C
E-I-DC----,40150103,,,,,C
E-I-DD----,40150104,,,,,C
E-I-DE----,40150105,,,,,C
E-I-DF----,40150106,,,,,C
E-I-DG----,40150107,,,,,C
E-I-DH----,40150108,,,,,C
E-I-DI----,40150109,,,,,C
E-I-DJ----,40150110,,,,,C
E-I-DK----,40150111,,,,,C
E-I-DL----,40150112,,,,,C
E-I-DM----,40150113,,,,,C
E-I-DN----,40150114,,,,,C
E-I-DO----,40150115,,,,,C
E-I-E-----,E-I-E-----,,,,,C
E-I-EA----,E-I-EA----,,,,,C
E-I-F-----,E-I-F-----,,,,,C
E-I-FA----,E-I-FA----,,,,,C
E-I-G-----,E-I-G-----,,,,,C
E-I-GA----,E-I-GA----,,,,,C
E-I-GB----,40160300,40031,,,,C
E-I-H-----,E-I-H-----,,,,,C
E-I-HA----,40160400,40161,,,,C
E-N-AA----,40170101,,,,,C
E-N-AB----,40170102,,,,,C
E-N-AC----,40170103,,,,,C
E-N-AD----,40170104,,,,,C
E-N-AE----,40170105,,,,,C
E-N-AG----,40170107,,,,,C
E-N-BB----,40170201,,,,,C
E-N-BC----,40170202,,,,,C
E-N-BF----,45161300,,,,,C
E-N-BM----,40170203,,,,,C
E-N-CA----,40170301,,,,,C
E-N-CB----,40170302,,,,,C
E-N-CC----,40170303,,,,,C
E-N-CD----,40170304,,,,,C
E-N-CE----,40170305,,,,,C
E-O-A-----,40131300,,,,,C
E-O-AA----,40131300,,,,,C
E-O-AB----,15201500,,,,,C
E-O-AC----,20112202,,,,,C
E-O-AD----,E-O-AD----,,,,,C
E-O-AE----,15230100,,,,,C
E-O-AF----,15201501,,,,,C
E-O-AG----,40131302,,,,,C
E-O-AJ----,40131303,,,,,C
E-O-AK----,40131304,,,,,C
E-O-AL----,40131305,,,,,C
E-O-AM----,40131306,,,,,C
E-O-B-----,40131200,,,,,C
E-O-BA----,10190000,,,,,C
