2525Charlie1stTen,2525Charlie,2525DeltaSymbolSet,2525DeltaEntity,2525DeltaMod1,2525DeltaMod2,LegacyMappingStatus,Remarks
S*APM-----,S*APM-----*****,01,110000,00,00,,
S*APMF----,S*APMF----*****,01,110100,00,00,,
S*APMFO---,S*APMFO---*****,01,110101,00,00,,
S*APMFA---,S*APMFA---*****,01,110102,00,00,,
S*APMFB---,S*APMFB---*****,01,110103,00,00,,
S*APMFF---,S*APMFF---*****,01,110104,00,00,,
,,01,110105,00,00,,
S*APMFFI--,S*APMFFI--*****,01,110102,05,00,Substitute,Retired - use Interceptor(05) in Mod1
S*APMFC---,S*APMFC---*****,01,110107,00,00,,
S*APMFCL--,S*APMFCL--*****,01,110107,00,03,,
S*APMFCM--,S*APMFCM--*****,01,110107,00,02,,
S*APMFCH--,S*APMFCH--*****,01,110107,00,01,,
S*APMFJ---,S*APMFJ---*****,01,110108,00,00,,
S*APMFK---,S*APMFK---*****,01,110109,00,00,,
S*APMFKB--,S*APMFKB--*****,01,110109,00,04,,
S*APMFKD--,S*APMFKD--*****,01,110109,00,05,,
S*APMFP---,S*APMFP---*****,01,110110,00,00,,
S*APMFR---,S*APMFR---*****,01,110111,00,00,,
S*APMFT---,S*APMFT---*****,01,110112,00,00,,
S*APMFU---,S*APMFU---*****,01,110113,00,00,,
S*APMFUL--,S*APMFUL--*****,01,110113,00,03,,
S*APMFUM--,S*APMFUM--*****,01,110113,00,02,,
S*APMFUH--,S*APMFUH--*****,01,110113,00,01,,
S*APMFL---,S*APMFL---*****,01,110114,00,00,,
S*APMFD---,S*APMFD---*****,01,110115,00,00,,
S*APMFRW--,S*APMFRW--*****,01,110116,00,00,,
S*APMFPN--,S*APMFPN--*****,01,110117,00,00,,
S*APMFS---,S*APMFS---*****,01,110118,00,00,,
S*APMFY---,S*APMFY---*****,01,110119,00,00,,
S*APMFH---,S*APMFH---*****,01,110120,00,00,,
S*APMFRZ--,S*APMFRZ--*****,01,110121,00,00,,
,,01,110122,00,00,,
S*APMFPM--,S*APMFPM--*****,01,110123,00,00,,
,,01,110124,00,00,,
,,01,110125,00,00,,
S*APMFM---,S*APMFM---*****,01,110126,00,00,,
,,01,110127,00,00,,
S*APMFRX--,S*APMFRX--*****,01,110128,00,00,,
S*APMV----,S*APMV----*****,01,110129,00,00,,
,,01,110130,00,00,,
,,01,110131,00,00,,
S*APME----,S*APME----*****,01,110132,00,00,,
,,01,110133,00,00,,
S*APMH----,S*APMH----*****,01,110200,00,00,,
S*APMHA---,S*APMHA---*****,01,110200,01,00,,
S*APMHS---,S*APMHS---*****,01,110200,32,00,,
S*APMHU---,S*APMHU---*****,01,110200,07,00,,
S*APMHUL--,S*APMHUL--*****,01,110200,07,03,,
S*APMHUM--,S*APMHUM--*****,01,110200,07,02,,
S*APMHUH--,S*APMHUH--*****,01,110200,07,01,,
S*APMHI---,S*APMHI---*****,01,110200,25,00,,
S*APMHH---,S*APMHH---*****,01,110200,30,00,,
S*APMHR---,S*APMHR---*****,01,110200,18,00,,
S*APMHC---,S*APMHC---*****,01,110200,03,00,,
S*APMHCL--,S*APMHCL--*****,01,110200,03,03,,
S*APMHCM--,S*APMHCM--*****,01,110200,03,02,,
S*APMHCH--,S*APMHCH--*****,01,110200,03,01,,
S*APMHT---,S*APMHT---*****,01,110200,19,00,,
S*APMHO---,S*APMHO---*****,01,110200,14,00,,
S*APMHM---,S*APMHM---*****,01,110200,27,00,,
S*APMHD---,S*APMHD---*****,01,110200,11,00,,
S*APMHK---,S*APMHK---*****,01,110200,06,00,,
S*APMHJ---,S*APMHJ---*****,01,110200,16,00,,
S*APMFQ---,S*APMFQ---*****,01,110300,00,00,,
S*APMFQA--,S*APMFQA--*****,01,110300,01,00,,
S*APMFQB--,S*APMFQB--*****,01,110300,02,00,,
S*APMFQC--,S*APMFQC--*****,01,110300,03,00,,
S*APMFQD--,S*APMFQD--*****,01,110300,11,00,,
S*APMFQRW-,S*APMFQRW-*****,01,110300,12,00,,
S*APMFQF--,S*APMFQF--*****,01,110300,04,00,,
S*APMFQH--,S*APMFQH--*****,01,110300,30,00,,
S*APMFQJ--,S*APMFQJ--*****,01,110300,16,00,,
S*APMFQRZ-,S*APMFQRZ-*****,01,110300,24,00,,
S*APMFQK--,S*APMFQK--*****,01,110300,06,00,,
S*APMFQL--,S*APMFQL--*****,01,110300,08,00,,
S*APMFQM--,S*APMFQM--*****,01,110300,27,00,,
S*APMFQI--,S*APMFQI--*****,01,110300,25,00,,
S*APMFQN--,S*APMFQN--*****,01,110300,32,00,,
S*APMFQP--,S*APMFQP--*****,01,110300,17,00,,
S*APMFQR--,S*APMFQR--*****,01,110300,18,00,,
S*APMFQRX-,S*APMFQRX-*****,01,110300,20,00,,
S*APMFQS--,S*APMFQS--*****,01,110300,22,00,,
S*APMFQT--,S*APMFQT--*****,01,110300,19,00,,
S*APMFQU--,S*APMFQU--*****,01,110300,07,00,,
S*APMFQY--,S*APMFQY--*****,01,110300,23,00,,
S*APMFQO--,S*APMFQO--*****,01,110300,14,00,,
S*APMHQ---,S*APMHQ---*****,01,110400,00,00,,
S*APML----,S*APML----*****,01,110500,00,00,,
,,01,110600,00,00,,
,,01,110700,00,00,,
S*APC-----,S*APC-----*****,01,120000,00,00,,
S*APCF----,S*APCF----*****,01,120100,00,00,,
S*APCH----,S*APCH----*****,01,120200,00,00,,
,,01,120300,00,00,,
S*APCL----,S*APCL----*****,01,120400,00,00,,
,,01,120500,00,00,,
,,01,120600,00,00,,
S*APW-----,S*APW-----*****,01,130000,00,00,Substitute,
S*APWD----,S*APWD----*****,01,130200,00,00,,
,,01,140000,00,00,,
S*APWM----,S*APWM----*****,02,110000,00,00,,
S*APWM----,S*APWM----*****,02,110000,00,05,,
S*APWMS---,S*APWMS---*****,02,110000,02,05,,
S*APWMSB--,S*APWMSB--*****,02,110000,05,00,,
S*APWMSS--,S*APWMSS--*****,02,110000,02,02,,
S*APWMSA--,S*APWMSA--*****,02,110000,02,01,,
S*APWMSU--,S*APWMSU--*****,02,110000,02,03,,
S*APWMA---,S*APWMA---*****,02,110000,01,05,,
S*APWMAS--,S*APWMAS--*****,02,110000,01,02,,
S*APWMAA--,S*APWMAA--*****,02,110000,01,01,,
S*APWMAP--,S*APWMAP--*****,02,110000,01,04,,
S*APWMU---,S*APWMU---*****,02,110000,03,02,,
S*APWMCM--,S*APWMCM--*****,02,110000,07,06,,
S*APWMB---,S*APWMB---*****,02,110000,06,06,,
S*PP------,S*PP------*****,05,110000,00,00,,
,,05,110100,00,00,,
,,05,110200,00,00,,
,,05,110300,00,00,,
,,05,110400,00,00,,
,,05,110500,00,00,,
,,05,110600,00,00,,
S*PPS-----,S*PPS-----*****,05,110700,00,00,,
,,05,110800,00,00,,
,,05,110900,00,00,,
,,05,111000,00,00,,
,,05,111100,00,00,,
,,05,111200,00,00,,
,,05,111300,00,00,,
,,05,111400,00,00,,
,,05,111500,00,00,,
S*PPT-----,S*PPT-----*****,05,111600,00,00,,
,,05,111700,00,00,,
,,05,111800,00,00,,
S*PPL-----,S*PPL-----*****,05,111900,00,00,,
,,05,120000,00,00,,
,,05,120100,00,00,,
,,05,120200,00,00,,
,,05,120300,00,00,,
,,05,120400,00,00,,
,,05,120500,00,00,,
,,05,120600,00,00,,
,,05,120700,00,00,,
,,05,120800,00,00,,
,,05,120900,00,00,,
,,05,121000,00,00,,
,,05,121100,00,00,,
,,05,121200,00,00,,
,,05,130000,00,00,,
,,06,110000,00,00,,
,,10,110000,00,00,,
,,10,110100,00,00,,
S*FPGC----,S*FPGC----*****,10,110200,00,00,,
,,10,110300,00,00,,
,,10,110400,00,00,,
,,10,110500,00,00,,
S*FPGP----,S*FPGP----*****,10,110600,00,00,,
,,10,110601,00,00,,
,,10,110700,00,00,,
,,10,110800,00,00,,
,,10,110900,00,00,,
S*GPUUS---,S*GPUUS---*****,10,111000,00,00,,
S*GPUUSA--,S*GPUUSA--*****,10,111000,02,00,,
S*GPUUSC--,S*GPUUSC--*****,10,111000,11,00,,
S*GPUUSO--,S*GPUUSO--*****,10,111000,49,00,,
S*GPUUSF--,S*GPUUSF--*****,10,111000,27,00,,
S*GPUUSM--,S*GPUUSM--*****,10,111000,36,00,,
S*GPUUSML-,S*GPUUSML-*****,10,111000,30,00,,
S*GPUUSMN-,S*GPUUSMN-*****,10,111000,47,00,,
S*GPUUSS--,S*GPUUSS--*****,10,111000,77,00,,
S*GPUUSR--,S*GPUUSR--*****,10,111001,00,00,,
S*GPUUSRW-,S*GPUUSRW-*****,10,111002,00,00,,
S*GPUUSRT-,S*GPUUSRT-*****,10,111003,00,00,,
S*GPUUSRS-,S*GPUUSRS-*****,10,111004,00,00,,
,,10,111005,00,00,,
,,10,111100,00,00,,
,,10,111200,00,00,,
,,10,120000,00,00,,
,,10,120100,00,00,,
,,10,120200,00,00,,
,,10,120300,00,00,,
S*GPUUP---,S*GPUUP---*****,10,120300,29,00,,
S*GPUCAA--,S*GPUCAA--*****,10,120400,00,00,,
S*GPUCAAL-,S*GPUCAAL-*****,10,120400,00,19,,
,,10,120400,00,24,,
,,10,120400,00,15,,
S*GPUCAAM-,S*GPUCAAM-*****,10,120400,00,01,,
S*GPUCAAS-,S*GPUCAAS-*****,10,120400,01,00,,
S*GPUCAAU-,S*GPUCAAU-*****,10,120400,00,27,,
S*GPUCAAC-,S*GPUCAAC-*****,10,120400,00,02,,
S*GPUCAAA-,S*GPUCAAA-*****,10,120401,00,00,,
S*GPUCAAAS,S*GPUCAAAS*****,10,120401,01,00,,
S*GPUCAAAW,S*GPUCAAAW*****,10,120401,00,51,,
S*GPUCAAO-,S*GPUCAAO-*****,10,120402,00,00,,
S*GPUCAAOS,S*GPUCAAOS*****,10,120402,01,00,,
S*GPUCAT--,S*GPUCAT--*****,10,120500,00,00,,
S*GPUCATL-,S*GPUCATL-*****,10,120500,00,19,,
S*GPUCATM-,S*GPUCATM-*****,10,120500,00,24,,
S*GPUCATH-,S*GPUCATH-*****,10,120500,00,15,,
S*GPUCATA-,S*GPUCATA-*****,10,120500,00,01,,
S*GPUCATR-,S*GPUCATR-*****,10,120500,00,38,,
S*GPUCRVA-,S*GPUCRVA-*****,10,120501,00,00,,
S*GPUCRRL-,S*GPUCRRL-*****,10,120501,00,19,,
S*GPUCATW-,S*GPUCATW-*****,10,120502,00,00,,
S*GPUCAWW-,S*GPUCAWW-*****,10,120502,00,51,,
S*GPUCATWR,S*GPUCATWR*****,10,120502,00,38,,
S*GPUCV---,S*GPUCV---*****,10,120600,00,00,,
S*GPUCVRA-,S*GPUCVRA-*****,10,120600,03,00,,
S*GPUCVUR-,S*GPUCVUR-*****,10,120600,01,00,,
S*GPUCVRUC,S*GPUCVRUC*****,10,120600,10,00,,
S*GPUCVRM-,S*GPUCVRM-*****,10,120600,33,00,,
S*GPUCVS--,S*GPUCVS--*****,10,120600,53,00,,
S*GPUCSA--,S*GPUCSA--*****,10,120600,54,00,,
S*FPA-----,S*FPA-----*****,10,120600,63,00,,
S*FPAHA---,S*FPAHA---*****,10,120600,63,54,,
S*FPAHU---,S*FPAHU---*****,10,120600,63,56,,
S*FPAHH---,S*FPAHH---*****,10,120600,63,57,,
S*FPAHUL--,S*FPAHUL--*****,10,120600,63,19,,
S*FPAHUM--,S*FPAHUM--*****,10,120600,63,24,,
S*FPAHUH--,S*FPAHUH--*****,10,120600,63,15,,
S*GPUCVRU-,S*GPUCVRU-*****,10,120600,69,00,,
S*GPUCVRUL,S*GPUCVRUL*****,10,120600,69,19,,
S*GPUCVRUM,S*GPUCVRUM*****,10,120600,69,24,,
S*GPUCVRUH,S*GPUCVRUH*****,10,120600,69,15,,
S*GPUCVRW-,S*GPUCVRW-*****,10,120600,74,00,,
S*GPUCVRUE,S*GPUCVRUE*****,10,120600,75,00,,
S*GPUCRVO-,S*GPUCRVO-*****,10,120601,00,00,,
S*GPUCVC--,S*GPUCVC--*****,10,120700,00,00,,
S*GPUCVF--,S*GPUCVF--*****,10,120800,00,00,,
S*GPUCVFA-,S*GPUCVFA-*****,10,120800,03,00,,
S*GPUCVUF-,S*GPUCVUF-*****,10,120800,01,00,,
S*FPAF----,S*FPAF----*****,10,120800,63,00,,
S*FPAFA---,S*FPAFA---*****,10,120800,63,54,,
S*FPAFK---,S*FPAFK---*****,10,120800,63,55,,
S*FPAFU---,S*FPAFU---*****,10,120800,63,56,,
S*FPAFUL--,S*FPAFUL--*****,10,120800,63,19,,
S*FPAFUM--,S*FPAFUM--*****,10,120800,63,24,,
S*FPAFUH--,S*FPAFUH--*****,10,120800,63,15,,
S*FPAV----,S*FPAV----*****,10,120800,63,49,,
S*GPUCVFU-,S*GPUCVFU-*****,10,120800,69,00,,
S*GPUCVV--,S*GPUCVV--*****,10,120800,00,49,,
S*GPUCVFR-,S*GPUCVFR-*****,10,120801,00,00,,
S*GPUC----,S*GPUC----*****,10,120900,00,00,,
,,10,121000,00,00,,
S*GPUCI---,S*GPUCI---*****,10,121100,00,00,,
S*FPGR----,S*FPGR----*****,10,121100,57,01,,
S*GPUCIL--,S*GPUCIL--*****,10,121100,00,19,,
S*GPUCIO--,S*GPUCIO--*****,10,121100,00,27,,
S*GPUCIA--,S*GPUCIA--*****,10,121100,00,01,,
S*GPUCIS--,S*GPUCIS--*****,10,121100,01,00,,
S*GPUCIC--,S*GPUCIC--*****,10,121100,00,02,,
S*GPUCIN--,S*GPUCIN--*****,10,121100,46,00,,
,,10,121101,00,00,,
S*GPUCIZ--,S*GPUCIZ--*****,10,121102,00,00,,
,,10,121103,00,00,,
S*GPUCIM--,S*GPUCIM--*****,10,121104,00,00,,
,,10,121200,00,00,,
S*GPUCR---,S*GPUCR---*****,10,121300,00,00,,
S*GPUCRC--,S*GPUCRC--*****,10,121300,00,02,,
S*GPUCRS--,S*GPUCRS--*****,10,121300,01,00,,
S*GPUCRA--,S*GPUCRA--*****,10,121300,00,01,,
